home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_red_card,away_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long,round,result
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,0
3,,0.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0,0
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,-1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0,-1
0,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1,-1
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,1,-1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,1,1
1,,4.0,1,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1,1
0,,0.0,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1,-1
0,,3.0,0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1,-1
3,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,1
0,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1,-1
2,,4.0,2,,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,3.0,1,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,1,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1,1
1,,0.0,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,1
4,,0.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,0,1
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,-1
1,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0,0
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0,-1
2,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,0,0
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0,0
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,-1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0,1
2,,0.0,2,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0,0
2,,0.0,1,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0,1
6,,0.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0,1
1,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0,-1
2,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,3.0,0,0
1,,0.0,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0,-1
0,,0.0,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0,1
2,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0,0
5,,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,1
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,-1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0,-1
2,,0.0,2,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,0,0
5,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,0,1
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0,0
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,3.0,0,0
4,,0.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,0,0
3,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0,0
3,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0,1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0,1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0,1
1,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0,-1
2,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0,-1
1,,0.0,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,0,-1
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0,0
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0,0
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0,-1
3,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0,1
2,,0.0,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0,0
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0,0
2,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0,1
2,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0,0
0,,3.0,0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1
4,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1,1
1,,0.0,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1,-1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1,-1
2,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,1,1
2,,4.0,2,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1,-1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1,1
2,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1,-1
1,,0.0,2,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,2.0,1,-1
1,,1.0,1,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1,-1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,2.0,1,1
1,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1,-1
3,,0.0,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,1,1
3,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1,1
3,,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,1,1
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,-1
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0,-1
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,0,-1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,-1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0,0
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0,0
6,,0.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0
3,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0,1
1,,0.0,3,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,-1
4,,0.0,0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0,1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,-1
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0,1
2,,0.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,1
3,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0,1
3,,0.0,1,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0,1
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0,0
1,,0.0,4,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0,-1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,1
4,,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0,0
3,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,1
2,,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0,1
2,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,0
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0,-1
1,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,0,1
2,,0.0,2,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0,0
1,,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1,1
2,,0.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,1
1,,4.0,1,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1,1
1,,3.0,1,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,1,-1
1,,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,1,1
3,,0.0,2,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1,1
0,,2.0,0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1,1
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1,1
0,,5.0,0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1,1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,1,-1
2,,0.0,1,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1,1
4,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1,1
1,,0.0,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,-1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0,-1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,1
1,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0,0
4,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,2.0,2.0,0,1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0,0
0,,0.0,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0,-1
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0
3,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,1
1,,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,1
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0
1,,0.0,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,-1
0,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0,-1
5,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0,1
0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,0
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,0,1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,1
1,,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,1
1,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0,0
1,,0.0,5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0,-1
4,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0,1
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0,-1
0,,0.0,2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,-1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,0,-1
3,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1,1
4,,0.0,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1,1
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1,-1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1
2,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1,1
1,,4.0,1,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1,-1
1,,3.0,1,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,-1
0,,4.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0,2.0,1,1
3,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1,1
1,,0.0,5,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1,-1
0,,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1,-1
0,,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,-1
4,,0.0,0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1,1
1,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1,1
2,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1,1
3,,0.0,4,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1,-1
